id,sta,ymd,ydec,doy,x,y,z,zone,utm_e,utm_n,lat,lon,ell_h,msl_h
JAHM001,JAHM,2020-01-01 00:00:00,2020.0027322,1,-1003279.83995,5959660.14229,2032774.36077,47,558607.2308,2068529.8398,18.707275621014,99.555867104597,274.9183,312.2544
JAHM002,JAHM,2020-01-02 00:00:00,2020.0054645,2,-1003279.84171,5959660.13950,2032774.35910,47,558607.2330,2068529.8390,18.707275613819,99.555867125369,274.9154,312.2516
JAHM003,JAHM,2020-01-03 00:00:00,2020.0081967,3,-1003279.84066,5959660.14269,2032774.35869,47,558607.2315,2068529.8376,18.707275601717,99.555867110613,274.9181,312.2543
JAHM004,JAHM,2020-01-04 00:00:00,2020.0109290,4,-1003279.84020,5959660.14413,2032774.35828,47,558607.2308,2068529.8368,18.707275594263,99.555867103967,274.9193,312.2554
JAHM005,JAHM,2020-01-05 00:00:00,2020.0136612,5,-1003279.83992,5959660.14555,2032774.35808,47,558607.2303,2068529.8362,18.707275588641,99.555867099181,274.9205,312.2566
JAHM006,JAHM,2020-01-06 00:00:00,2020.0163934,6,-1003279.84049,5959660.14730,2032774.36068,47,558607.2305,2068529.8381,18.707275605681,99.555867101737,274.9230,312.2592
JAHM007,JAHM,2020-01-07 00:00:00,2020.0191257,7,-1003279.84328,5959660.15405,2032774.36497,47,558607.2322,2068529.8398,18.707275621715,99.555867117135,274.9312,312.2673
JAHM008,JAHM,2020-01-08 00:00:00,2020.0218579,8,-1003279.84199,5959660.14468,2032774.36048,47,558607.2325,2068529.8386,18.707275610715,99.555867119887,274.9208,312.2569
JAHM009,JAHM,2020-01-09 00:00:00,2020.0245902,9,-1003279.84054,5959660.14598,2032774.36305,47,558607.2308,2068529.8407,18.707275629654,99.555867104307,274.9226,312.2587
JAHM010,JAHM,2020-01-10 00:00:00,2020.0273224,10,-1003279.83903,5959660.14715,2032774.36292,47,558607.2291,2068529.8403,18.707275625938,99.555867088268,274.9234,312.2595
JAHM011,JAHM,2020-01-11 00:00:00,2020.0300546,11,-1003279.84536,5959660.15714,2032774.36476,47,558607.2337,2068529.8386,18.707275610121,99.555867131811,274.9343,312.2704
JAHM013,JAHM,2020-01-13 00:00:00,2020.0355191,13,-1003279.84528,5959660.15056,2032774.36160,47,558607.2347,2068529.8377,18.707275601869,99.555867141399,274.9271,312.2633
JAHM014,JAHM,2020-01-14 00:00:00,2020.0382514,14,-1003279.84430,5959660.15469,2032774.36233,47,558607.2331,2068529.8371,18.707275596864,99.555867125712,274.9311,312.2672
JAHM018,JAHM,2020-01-18 00:00:00,2020.0491803,18,-1003279.84088,5959660.13867,2032774.35932,47,558607.2324,2068529.8395,18.707275618515,99.555867118915,274.9146,312.2507
JAHM019,JAHM,2020-01-19 00:00:00,2020.0519126,19,-1003279.84291,5959660.15130,2032774.36073,47,558607.2323,2068529.8367,18.707275593514,99.555867118049,274.9272,312.2633
JAHM020,JAHM,2020-01-20 00:00:00,2020.0546448,20,-1003279.84237,5959660.14548,2032774.36123,47,558607.2327,2068529.8391,18.707275614695,99.555867122143,274.9218,312.2579
JAHM021,JAHM,2020-01-21 00:00:00,2020.0573770,21,-1003279.83934,5959660.13847,2032774.35595,47,558607.2309,2068529.8364,18.707275590939,99.555867104869,274.9131,312.2492
JAHM024,JAHM,2020-01-24 00:00:00,2020.0655738,24,-1003279.83894,5959660.14569,2032774.36444,47,558607.2293,2068529.8422,18.707275643191,99.555867089720,274.9225,312.2586
JAHM025,JAHM,2020-01-25 00:00:00,2020.0683060,25,-1003279.83939,5959660.14473,2032774.36442,47,558607.2299,2068529.8425,18.707275645555,99.555867095509,274.9217,312.2578
