id,sta,ymd,ydec,doy,x,y,z,zone,utm_e,utm_n,lat,lon,ell_h,msl_h
LSN1167,LSN1,2020-06-15 00:00:00,2020.4562842,167,-1088138.32934,6196941.04611,1042730.29330,47,605293.7173,1047220.4973,9.472357981568,99.959198750295,8.3081,31.4067
LSN1168,LSN1,2020-06-16 00:00:00,2020.4590164,168,-1088138.33290,6196941.05015,1042730.29490,47,605293.7201,1047220.4982,9.472357989030,99.959198775924,8.3129,31.4115
LSN1169,LSN1,2020-06-17 00:00:00,2020.4617486,169,-1088138.33497,6196941.05278,1042730.29339,47,605293.7217,1047220.4962,9.472357971223,99.959198790322,8.3156,31.4141
LSN1170,LSN1,2020-06-18 00:00:00,2020.4644809,170,-1088138.33226,6196941.04879,1042730.29281,47,605293.7197,1047220.4963,9.472357972580,99.959198772264,8.3111,31.4097
LSN1172,LSN1,2020-06-20 00:00:00,2020.4699454,172,-1088138.33367,6196941.05867,1042730.29715,47,605293.7194,1047220.4990,9.472357996395,99.959198769377,8.3217,31.4203
LSN1173,LSN1,2020-06-21 00:00:00,2020.4726776,173,-1088138.33619,6196941.05120,1042730.29470,47,605293.7231,1047220.4977,9.472357984822,99.959198803761,8.3145,31.4130
LSN1174,LSN1,2020-06-22 00:00:00,2020.4754098,174,-1088138.33395,6196941.05316,1042730.29653,47,605293.7206,1047220.4992,9.472357998885,99.959198780547,8.3163,31.4149
LSN1175,LSN1,2020-06-23 00:00:00,2020.4781421,175,-1088138.33007,6196941.04938,1042730.29528,47,605293.7174,1047220.4987,9.472357994318,99.959198751677,8.3117,31.4103
LSN1176,LSN1,2020-06-24 00:00:00,2020.4808743,176,-1088138.33063,6196941.03699,1042730.29215,47,605293.7201,1047220.4976,9.472357984356,99.959198776224,8.2993,31.3979
LSN1177,LSN1,2020-06-25 00:00:00,2020.4836066,177,-1088138.33243,6196941.06267,1042730.29800,47,605293.7174,1047220.4992,9.472357998415,99.959198751951,8.3255,31.4241
LSN1178,LSN1,2020-06-26 00:00:00,2020.4863388,178,-1088138.33388,6196941.04944,1042730.29186,47,605293.7212,1047220.4952,9.472357962699,99.959198785783,8.3119,31.4105
LSN1181,LSN1,2020-06-29 00:00:00,2020.4945355,181,-1088138.32613,6196941.04747,1042730.29311,47,605293.7139,1047220.4970,9.472357978711,99.959198719417,8.3088,31.4074
LSN1182,LSN1,2020-06-30 00:00:00,2020.4972678,182,-1088138.33221,6196941.04899,1042730.29452,47,605293.7196,1047220.4980,9.472357987499,99.959198771532,8.3116,31.4102
LSN1184,LSN1,2020-07-02 00:00:00,2020.5027322,184,-1088138.33518,6196941.04059,1042730.29483,47,605293.7240,1047220.4996,9.472358001844,99.959198811405,8.3040,31.4026
LSN1185,LSN1,2020-07-03 00:00:00,2020.5054645,185,-1088138.33365,6196941.04274,1042730.29419,47,605293.7221,1047220.4986,9.472357993415,99.959198794288,8.3057,31.4043
LSN1186,LSN1,2020-07-04 00:00:00,2020.5081967,186,-1088138.33364,6196941.05363,1042730.29288,47,605293.7202,1047220.4956,9.472357965746,99.959198777016,8.3161,31.4147
LSN1187,LSN1,2020-07-05 00:00:00,2020.5109290,187,-1088138.33390,6196941.04798,1042730.29642,47,605293.7214,1047220.5000,9.472358005507,99.959198788215,8.3112,31.4098
LSN1188,LSN1,2020-07-06 00:00:00,2020.5136612,188,-1088138.33120,6196941.04083,1042730.29105,47,605293.7200,1047220.4959,9.472357968834,99.959198775284,8.3029,31.4015
LSN1189,LSN1,2020-07-07 00:00:00,2020.5163934,189,-1088138.33097,6196941.04120,1042730.29158,47,605293.7197,1047220.4964,9.472357973008,99.959198772679,8.3033,31.4019
LSN1190,LSN1,2020-07-08 00:00:00,2020.5191257,190,-1088138.33554,6196941.05314,1042730.29230,47,605293.7222,1047220.4950,9.472357960769,99.959198794870,8.3158,31.4144
LSN1191,LSN1,2020-07-09 00:00:00,2020.5218579,191,-1088138.33169,6196941.05231,1042730.29172,47,605293.7185,1047220.4947,9.472357957794,99.959198761644,8.3143,31.4129
LSN1192,LSN1,2020-07-10 00:00:00,2020.5245902,192,-1088138.33144,6196941.04538,1042730.29164,47,605293.7195,1047220.4958,9.472357967323,99.959198770287,8.3075,31.4061
LSN1194,LSN1,2020-07-12 00:00:00,2020.5300546,194,-1088138.33323,6196941.04844,1042730.28928,47,605293.7207,1047220.4929,9.472357941386,99.959198781549,8.3104,31.4090
LSN1195,LSN1,2020-07-13 00:00:00,2020.5327869,195,-1088138.33355,6196941.04911,1042730.29306,47,605293.7209,1047220.4965,9.472357973992,99.959198783311,8.3117,31.4103
LSN1196,LSN1,2020-07-14 00:00:00,2020.5355191,196,-1088138.33388,6196941.05371,1042730.29537,47,605293.7204,1047220.4980,9.472357987752,99.959198779028,8.3166,31.4152
LSN1197,LSN1,2020-07-15 00:00:00,2020.5382514,197,-1088138.32981,6196941.04061,1042730.28922,47,605293.7187,1047220.4942,9.472357953174,99.959198763220,8.3022,31.4008
LSN1198,LSN1,2020-07-16 00:00:00,2020.5409836,198,-1088138.33234,6196941.05131,1042730.28975,47,605293.7193,1047220.4929,9.472357941532,99.959198769021,8.3131,31.4117
LSN1199,LSN1,2020-07-17 00:00:00,2020.5437158,199,-1088138.32971,6196941.03896,1042730.29116,47,605293.7189,1047220.4964,9.472357972920,99.959198764906,8.3009,31.3995
LSN1200,LSN1,2020-07-18 00:00:00,2020.5464481,200,-1088138.33367,6196941.04784,1042730.29227,47,605293.7212,1047220.4959,9.472357968791,99.959198786450,8.3104,31.4089
LSN1201,LSN1,2020-07-19 00:00:00,2020.5491803,201,-1088138.33227,6196941.05063,1042730.28665,47,605293.7194,1047220.4900,9.472357914926,99.959198769434,8.3119,31.4105
LSN1202,LSN1,2020-07-20 00:00:00,2020.5519126,202,-1088138.33809,6196941.05571,1042730.29066,47,605293.7242,1047220.4929,9.472357941698,99.959198813622,8.3185,31.4171
LSN1203,LSN1,2020-07-21 00:00:00,2020.5546448,203,-1088138.33651,6196941.06527,1042730.29325,47,605293.7210,1047220.4940,9.472357951253,99.959198784433,8.3279,31.4265
LSN1204,LSN1,2020-07-22 00:00:00,2020.5573770,204,-1088138.32722,6196941.02836,1042730.28648,47,605293.7183,1047220.4935,9.472357947389,99.959198759293,8.2894,31.3880
LSN1205,LSN1,2020-07-23 00:00:00,2020.5601093,205,-1088138.33490,6196941.04888,1042730.28678,47,605293.7223,1047220.4903,9.472357917974,99.959198795779,8.3107,31.4093
LSN1206,LSN1,2020-07-24 00:00:00,2020.5628415,206,-1088138.32215,6196941.04882,1042730.28592,47,605293.7097,1047220.4898,9.472357913712,99.959198681592,8.3083,31.4069
LSN1207,LSN1,2020-07-25 00:00:00,2020.5655738,207,-1088138.33276,6196941.04392,1042730.29016,47,605293.7210,1047220.4945,9.472357955900,99.959198784419,8.3060,31.4046
LSN1209,LSN1,2020-07-27 00:00:00,2020.5710383,209,-1088138.33019,6196941.04263,1042730.28876,47,605293.7187,1047220.4934,9.472357945996,99.959198763374,8.3041,31.4027
LSN1210,LSN1,2020-07-28 00:00:00,2020.5737705,210,-1088138.33040,6196941.04254,1042730.28671,47,605293.7190,1047220.4914,9.472357927822,99.959198765481,8.3037,31.4023
LSN1211,LSN1,2020-07-29 00:00:00,2020.5765027,211,-1088138.33478,6196941.04669,1042730.29260,47,605293.7225,1047220.4964,9.472357973122,99.959198798165,8.3095,31.4081
LSN1212,LSN1,2020-07-30 00:00:00,2020.5792350,212,-1088138.33239,6196941.04957,1042730.29024,47,605293.7197,1047220.4937,9.472357948466,99.959198772185,8.3115,31.4101
LSN1214,LSN1,2020-08-01 00:00:00,2020.5846995,214,-1088138.33280,6196941.04987,1042730.29401,47,605293.7200,1047220.4973,9.472357981513,99.959198775437,8.3125,31.4111
LSN1215,LSN1,2020-08-02 00:00:00,2020.5874317,215,-1088138.33343,6196941.05946,1042730.29446,47,605293.7190,1047220.4962,9.472357971371,99.959198765949,8.3220,31.4205
LSN1216,LSN1,2020-08-03 00:00:00,2020.5901639,216,-1088138.33732,6196941.05014,1042730.29238,47,605293.7244,1047220.4956,9.472357965435,99.959198815555,8.3132,31.4118
LSN1217,LSN1,2020-08-04 00:00:00,2020.5928962,217,-1088138.32754,6196941.03407,1042730.28699,47,605293.7176,1047220.4931,9.472357943419,99.959198753150,8.2951,31.3936
LSN1218,LSN1,2020-08-05 00:00:00,2020.5956284,218,-1088138.33168,6196941.05135,1042730.29173,47,605293.7187,1047220.4949,9.472357959369,99.959198763092,8.3133,31.4119
