id,sta,ymd,ydec,doy,x,y,z,zone,utm_e,utm_n,lat,lon,ell_h,msl_h
NKBI167,NKBI,2020-06-15 00:00:00,2020.4562842,167,-1004107.40401,6237146.54794,874718.73941,47,516034.1321,877174.7526,7.935542105022,99.145478453877,-8.8867,12.4267
NKBI168,NKBI,2020-06-16 00:00:00,2020.4590164,168,-1004107.40628,6237146.54474,874718.73647,47,516034.1348,877174.7500,7.935542082189,99.145478478783,-8.8898,12.4235
NKBI169,NKBI,2020-06-17 00:00:00,2020.4617486,169,-1004107.40783,6237146.55147,874718.73718,47,516034.1353,877174.7498,7.935542079990,99.145478483017,-8.8829,12.4304
NKBI170,NKBI,2020-06-18 00:00:00,2020.4644809,170,-1004107.40727,6237146.55310,874718.73791,47,516034.1345,877174.7503,7.935542084623,99.145478475640,-8.8813,12.4320
NKBI172,NKBI,2020-06-20 00:00:00,2020.4699454,172,-1004107.40534,6237146.54693,874718.73840,47,516034.1336,877174.7517,7.935542096953,99.145478467249,-8.8876,12.4258
NKBI173,NKBI,2020-06-21 00:00:00,2020.4726776,173,-1004107.40747,6237146.55053,874718.73814,47,516034.1351,877174.7509,7.935542089804,99.145478481089,-8.8838,12.4296
NKBI174,NKBI,2020-06-22 00:00:00,2020.4754098,174,-1004107.40268,6237146.55279,874718.74012,47,516034.1300,877174.7526,7.935542105669,99.145478434988,-8.8820,12.4313
NKBI176,NKBI,2020-06-24 00:00:00,2020.4808743,176,-1004107.40262,6237146.54734,874718.73966,47,516034.1308,877174.7529,7.935542108270,99.145478442293,-8.8874,12.4259
NKBI177,NKBI,2020-06-25 00:00:00,2020.4836066,177,-1004107.40382,6237146.55975,874718.73946,47,516034.1300,877174.7510,7.935542090929,99.145478435105,-8.8751,12.4382
NKBI178,NKBI,2020-06-26 00:00:00,2020.4863388,178,-1004107.40829,6237146.54310,874718.73550,47,516034.1371,877174.7493,7.935542075127,99.145478499150,-8.8913,12.4221
NKBI181,NKBI,2020-06-29 00:00:00,2020.4945355,181,-1004107.40137,6237146.54891,874718.73792,47,516034.1293,877174.7510,7.935542090979,99.145478428823,-8.8863,12.4270
NKBI182,NKBI,2020-06-30 00:00:00,2020.4972678,182,-1004107.40764,6237146.55079,874718.73517,47,516034.1352,877174.7479,7.935542062792,99.145478482220,-8.8839,12.4295
NKBI183,NKBI,2020-07-01 00:00:00,2020.5000000,183,-1004107.40566,6237146.55241,874718.73911,47,516034.1330,877174.7516,7.935542096509,99.145478462161,-8.8821,12.4313
NKBI184,NKBI,2020-07-02 00:00:00,2020.5027322,184,-1004107.40899,6237146.54671,874718.73911,47,516034.1372,877174.7523,7.935542102840,99.145478500210,-8.8871,12.4262
NKBI185,NKBI,2020-07-03 00:00:00,2020.5054645,185,-1004107.40499,6237146.54443,874718.73851,47,516034.1336,877174.7521,7.935542101107,99.145478467666,-8.8901,12.4233
NKBI186,NKBI,2020-07-04 00:00:00,2020.5081967,186,-1004107.40356,6237146.54307,874718.73517,47,516034.1324,877174.7490,7.935542073126,99.145478456820,-8.8921,12.4213
NKBI187,NKBI,2020-07-05 00:00:00,2020.5109290,187,-1004107.40319,6237146.54276,874718.73645,47,516034.1321,877174.7504,7.935542085100,99.145478453983,-8.8923,12.4211
NKBI188,NKBI,2020-07-06 00:00:00,2020.5136612,188,-1004107.40501,6237146.54463,874718.73844,47,516034.1336,877174.7520,7.935542100231,99.145478467607,-8.8899,12.4235
NKBI189,NKBI,2020-07-07 00:00:00,2020.5163934,189,-1004107.40567,6237146.54466,874718.73696,47,516034.1343,877174.7505,7.935542086779,99.145478473467,-8.8899,12.4234
NKBI190,NKBI,2020-07-08 00:00:00,2020.5191257,190,-1004107.40679,6237146.53938,874718.73579,47,516034.1362,877174.7501,7.935542082638,99.145478491062,-8.8951,12.4183
NKBI191,NKBI,2020-07-09 00:00:00,2020.5218579,191,-1004107.40346,6237146.54641,874718.73355,47,516034.1318,877174.7470,7.935542054534,99.145478451099,-8.8891,12.4243
NKBI192,NKBI,2020-07-10 00:00:00,2020.5245902,192,-1004107.40466,6237146.53837,874718.73530,47,516034.1343,877174.7498,7.935542079919,99.145478473462,-8.8965,12.4169
NKBI193,NKBI,2020-07-11 00:00:00,2020.5273224,193,-1004107.40759,6237146.54366,874718.73466,47,516034.1363,877174.7484,7.935542067036,99.145478492096,-8.8909,12.4224
NKBI195,NKBI,2020-07-13 00:00:00,2020.5327869,195,-1004107.40798,6237146.55570,874718.73785,47,516034.1348,877174.7499,7.935542080749,99.145478478218,-8.8787,12.4347
NKBI196,NKBI,2020-07-14 00:00:00,2020.5355191,196,-1004107.40503,6237146.54795,874718.73652,47,516034.1331,877174.7497,7.935542078964,99.145478463009,-8.8869,12.4265
NKBI197,NKBI,2020-07-15 00:00:00,2020.5382514,197,-1004107.40537,6237146.55335,874718.73652,47,516034.1326,877174.7489,7.935542072185,99.145478458233,-8.8816,12.4318
NKBI198,NKBI,2020-07-16 00:00:00,2020.5409836,198,-1004107.40049,6237146.54530,874718.73441,47,516034.1290,877174.7481,7.935542064233,99.145478426156,-8.8905,12.4229
NKBI199,NKBI,2020-07-17 00:00:00,2020.5437158,199,-1004107.40418,6237146.55293,874718.73629,47,516034.1315,877174.7488,7.935542070930,99.145478448189,-8.8822,12.4312
NKBI200,NKBI,2020-07-18 00:00:00,2020.5464481,200,-1004107.40744,6237146.54172,874718.73776,47,516034.1365,877174.7517,7.935542097214,99.145478493563,-8.8924,12.4209
NKBI201,NKBI,2020-07-19 00:00:00,2020.5491803,201,-1004107.40667,6237146.53110,874718.73283,47,516034.1374,877174.7483,7.935542066326,99.145478501931,-8.9036,12.4097
NKBI202,NKBI,2020-07-20 00:00:00,2020.5519126,202,-1004107.41235,6237146.54898,874718.73686,47,516034.1402,877174.7497,7.935542079272,99.145478527002,-8.8847,12.4287
NKBI205,NKBI,2020-07-23 00:00:00,2020.5601093,205,-1004107.40969,6237146.52562,874718.73097,47,516034.1413,877174.7471,7.935542055865,99.145478536930,-8.9088,12.4046
NKBI206,NKBI,2020-07-24 00:00:00,2020.5628415,206,-1004107.40954,6237146.55369,874718.73322,47,516034.1366,877174.7455,7.935542041410,99.145478495093,-8.8810,12.4323
NKBI207,NKBI,2020-07-25 00:00:00,2020.5655738,207,-1004107.40430,6237146.54799,874718.73389,47,516034.1324,877174.7471,7.935542055504,99.145478456421,-8.8873,12.4260
NKBI208,NKBI,2020-07-26 00:00:00,2020.5683060,208,-1004107.40457,6237146.53921,874718.73218,47,516034.1340,877174.7466,7.935542050930,99.145478471438,-8.8961,12.4172
NKBI209,NKBI,2020-07-27 00:00:00,2020.5710383,209,-1004107.40803,6237146.54725,874718.73336,47,516034.1362,877174.7466,7.935542050945,99.145478490842,-8.8875,12.4258
NKBI210,NKBI,2020-07-28 00:00:00,2020.5737705,210,-1004107.40265,6237146.53779,874718.73228,47,516034.1324,877174.7469,7.935542053998,99.145478456335,-8.8978,12.4156
NKBI215,NKBI,2020-08-02 00:00:00,2020.5874317,215,-1004107.40326,6237146.54368,874718.73968,47,516034.1320,877174.7534,7.935542112870,99.145478453248,-8.8909,12.4224
NKBI216,NKBI,2020-08-03 00:00:00,2020.5901639,216,-1004107.40690,6237146.55069,874718.73985,47,516034.1345,877174.7526,7.935542104983,99.145478475739,-8.8835,12.4299
NKBI218,NKBI,2020-08-05 00:00:00,2020.5956284,218,-1004107.40593,6237146.55763,874718.73659,47,516034.1325,877174.7484,7.935542067420,99.145478457083,-8.8773,12.4361
