id,sta,ymd,ydec,doy,x,y,z,zone,utm_e,utm_n,lat,lon,ell_h,msl_h
PJRK002,PJRK,2020-01-02 00:00:00,2020.0054645,2,-1062387.59128,6152905.10593,1297009.23591,47,586752.2379,1305846.2375,11.811617661441,99.796349954227,-11.9605,16.6868
PJRK003,PJRK,2020-01-03 00:00:00,2020.0081967,3,-1062387.59212,6152905.10743,1297009.23337,47,586752.2385,1305846.2347,11.811617635979,99.796349959431,-11.9594,16.6879
PJRK004,PJRK,2020-01-04 00:00:00,2020.0109290,4,-1062387.58845,6152905.10305,1297009.23062,47,586752.2356,1305846.2330,11.811617620784,99.796349933061,-11.9648,16.6825
PJRK005,PJRK,2020-01-05 00:00:00,2020.0136612,5,-1062387.58911,6152905.10457,1297009.23943,47,586752.2360,1305846.2413,11.811617695760,99.796349936661,-11.9614,16.6859
PJRK006,PJRK,2020-01-06 00:00:00,2020.0163934,6,-1062387.59044,6152905.10919,1297009.23603,47,586752.2365,1305846.2369,11.811617656781,99.796349941536,-11.9575,16.6898
PJRK007,PJRK,2020-01-07 00:00:00,2020.0191257,7,-1062387.58875,6152905.12549,1297009.24474,47,586752.2321,1305846.2422,11.811617704699,99.796349900816,-11.9402,16.7071
PJRK008,PJRK,2020-01-08 00:00:00,2020.0218579,8,-1062387.59151,6152905.11546,1297009.23908,47,586752.2365,1305846.2386,11.811617672037,99.796349941388,-11.9506,16.6967
PJRK009,PJRK,2020-01-09 00:00:00,2020.0245902,9,-1062387.58956,6152905.11385,1297009.24318,47,586752.2348,1305846.2430,11.811617711826,99.796349926307,-11.9516,16.6957
PJRK010,PJRK,2020-01-10 00:00:00,2020.0273224,10,-1062387.58871,6152905.11359,1297009.23881,47,586752.2341,1305846.2388,11.811617673950,99.796349919043,-11.9529,16.6944
PJRK011,PJRK,2020-01-11 00:00:00,2020.0300546,11,-1062387.59326,6152905.11821,1297009.24283,47,586752.2377,1305846.2417,11.811617699662,99.796349952919,-11.9469,16.7004
PJRK012,PJRK,2020-01-12 00:00:00,2020.0327869,12,-1062387.58952,6152905.10107,1297009.23976,47,586752.2370,1305846.2423,11.811617704947,99.796349945857,-11.9647,16.6826
PJRK013,PJRK,2020-01-13 00:00:00,2020.0355191,13,-1062387.59184,6152905.11102,1297009.23778,47,586752.2376,1305846.2382,11.811617668513,99.796349951312,-11.9551,16.6922
PJRK014,PJRK,2020-01-14 00:00:00,2020.0382514,14,-1062387.59489,6152905.11056,1297009.24111,47,586752.2407,1305846.2415,11.811617697871,99.796349979661,-11.9544,16.6929
PJRK015,PJRK,2020-01-15 00:00:00,2020.0409836,15,-1062387.59531,6152905.10820,1297009.23563,47,586752.2415,1305846.2366,11.811617653557,99.796349987116,-11.9577,16.6896
PJRK016,PJRK,2020-01-16 00:00:00,2020.0437158,16,-1062387.59434,6152905.10676,1297009.23870,47,586752.2408,1305846.2399,11.811617683629,99.796349980576,-11.9586,16.6887
PJRK020,PJRK,2020-01-20 00:00:00,2020.0546448,20,-1062387.59020,6152905.11195,1297009.23812,47,586752.2358,1305846.2384,11.811617670304,99.796349935033,-11.9544,16.6929
PJRK021,PJRK,2020-01-21 00:00:00,2020.0573770,21,-1062387.59335,6152905.10898,1297009.22725,47,586752.2394,1305846.2283,11.811617578587,99.796349968132,-11.9590,16.6883
PJRK023,PJRK,2020-01-23 00:00:00,2020.0628415,23,-1062387.59238,6152905.10737,1297009.23801,47,586752.2387,1305846.2392,11.811617677050,99.796349961924,-11.9585,16.6888
PJRK024,PJRK,2020-01-24 00:00:00,2020.0655738,24,-1062387.59249,6152905.11914,1297009.23518,47,586752.2369,1305846.2340,11.811617630511,99.796349944573,-11.9477,16.6996
PJRK025,PJRK,2020-01-25 00:00:00,2020.0683060,25,-1062387.59133,6152905.11840,1297009.23524,47,586752.2358,1305846.2343,11.811617632771,99.796349935236,-11.9486,16.6987
PJRK026,PJRK,2020-01-26 00:00:00,2020.0710383,26,-1062387.59377,6152905.10862,1297009.23868,47,586752.2399,1305846.2396,11.811617680272,99.796349972522,-11.9569,16.6904
PJRK029,PJRK,2020-01-29 00:00:00,2020.0792350,29,-1062387.58927,6152905.11687,1297009.23502,47,586752.2341,1305846.2345,11.811617634265,99.796349918904,-11.9504,16.6969
PJRK035,PJRK,2020-02-04 00:00:00,2020.0956284,35,-1062387.59350,6152905.10752,1297009.23291,47,586752.2398,1305846.2341,11.811617631255,99.796349971842,-11.9592,16.6881
PJRK036,PJRK,2020-02-05 00:00:00,2020.0983607,36,-1062387.59307,6152905.10988,1297009.23842,47,586752.2390,1305846.2391,11.811617675880,99.796349964203,-11.9559,16.6914
PJRK037,PJRK,2020-02-06 00:00:00,2020.1010929,37,-1062387.59577,6152905.11099,1297009.23429,47,586752.2415,1305846.2347,11.811617636473,99.796349986867,-11.9552,16.6921
PJRK038,PJRK,2020-02-07 00:00:00,2020.1038251,38,-1062387.59185,6152905.10472,1297009.23446,47,586752.2387,1305846.2363,11.811617650607,99.796349961226,-11.9619,16.6854
PJRK039,PJRK,2020-02-08 00:00:00,2020.1065574,39,-1062387.59278,6152905.10967,1297009.23606,47,586752.2387,1305846.2368,11.811617655425,99.796349961933,-11.9566,16.6907
PJRK040,PJRK,2020-02-09 00:00:00,2020.1092896,40,-1062387.59283,6152905.09903,1297009.23577,47,586752.2406,1305846.2387,11.811617672319,99.796349979036,-11.9669,16.6804
PJRK041,PJRK,2020-02-10 00:00:00,2020.1120219,41,-1062387.59551,6152905.10863,1297009.23393,47,586752.2416,1305846.2348,11.811617637621,99.796349988261,-11.9576,16.6897
PJRK042,PJRK,2020-02-11 00:00:00,2020.1147541,42,-1062387.59307,6152905.11598,1297009.23584,47,586752.2380,1305846.2353,11.811617641936,99.796349954656,-11.9505,16.6968
PJRK043,PJRK,2020-02-12 00:00:00,2020.1174863,43,-1062387.59453,6152905.11543,1297009.23230,47,586752.2395,1305846.2319,11.811617611150,99.796349968747,-11.9515,16.6958
PJRK045,PJRK,2020-02-14 00:00:00,2020.1229508,45,-1062387.59459,6152905.12087,1297009.23614,47,586752.2386,1305846.2346,11.811617635159,99.796349960780,-11.9455,16.7018
PJRK046,PJRK,2020-02-15 00:00:00,2020.1256831,46,-1062387.59131,6152905.11276,1297009.23729,47,586752.2368,1305846.2374,11.811617661221,99.796349943778,-11.9536,16.6937
PJRK047,PJRK,2020-02-16 00:00:00,2020.1284153,47,-1062387.59365,6152905.11725,1297009.23799,47,586752.2383,1305846.2371,11.811617658422,99.796349957995,-11.9487,16.6986
PJRK048,PJRK,2020-02-17 00:00:00,2020.1311475,48,-1062387.59013,6152905.10896,1297009.23553,47,586752.2363,1305846.2365,11.811617652881,99.796349939111,-11.9578,16.6895
PJRK049,PJRK,2020-02-18 00:00:00,2020.1338798,49,-1062387.59414,6152905.11073,1297009.23826,47,586752.2399,1305846.2387,11.811617672594,99.796349972610,-11.9549,16.6924
PJRK050,PJRK,2020-02-19 00:00:00,2020.1366120,50,-1062387.59781,6152905.10785,1297009.23303,47,586752.2440,1305846.2340,11.811617630357,99.796350010274,-11.9581,16.6892
PJRK051,PJRK,2020-02-20 00:00:00,2020.1393443,51,-1062387.59340,6152905.10225,1297009.23214,47,586752.2406,1305846.2345,11.811617634150,99.796349979146,-11.9645,16.6828
PJRK052,PJRK,2020-02-21 00:00:00,2020.1420765,52,-1062387.59484,6152905.10101,1297009.23952,47,586752.2422,1305846.2419,11.811617701215,99.796349994102,-11.9639,16.6834
