id,sta,ymd,ydec,doy,x,y,z,zone,utm_e,utm_n,lat,lon,ell_h,msl_h
PKET001,PKET,2020-01-01 00:00:00,2020.0027322,1,-922365.11068,6250473.36198,869690.38260,47,433244.0754,872144.4512,7.889627411324,98.394397583529,0.1499,24.7487
PKET002,PKET,2020-01-02 00:00:00,2020.0054645,2,-922365.11491,6250473.36232,869690.38191,47,433244.0795,872144.4504,7.889627403960,98.394397621046,0.1507,24.7496
PKET003,PKET,2020-01-03 00:00:00,2020.0081967,3,-922365.11112,6250473.35695,869690.37993,47,433244.0766,872144.4493,7.889627393488,98.394397594155,0.1446,24.7435
PKET004,PKET,2020-01-04 00:00:00,2020.0109290,4,-922365.10817,6250473.35778,869690.37694,47,433244.0735,872144.4462,7.889627366197,98.394397566635,0.1446,24.7435
PKET005,PKET,2020-01-05 00:00:00,2020.0136612,5,-922365.11248,6250473.36287,869690.38190,47,433244.0771,872144.4504,7.889627403593,98.394397598569,0.1509,24.7497
PKET006,PKET,2020-01-06 00:00:00,2020.0163934,6,-922365.11232,6250473.35641,869690.38321,47,433244.0779,872144.4526,7.889627423317,98.394397605649,0.1447,24.7436
PKET007,PKET,2020-01-07 00:00:00,2020.0191257,7,-922365.11260,6250473.36006,869690.38462,47,433244.0776,872144.4534,7.889627431411,98.394397603298,0.1485,24.7474
PKET008,PKET,2020-01-08 00:00:00,2020.0218579,8,-922365.11220,6250473.35974,869690.38209,47,433244.0772,872144.4510,7.889627409236,98.394397600150,0.1478,24.7467
PKET009,PKET,2020-01-09 00:00:00,2020.0245902,9,-922365.11099,6250473.35835,869690.38167,47,433244.0763,872144.4508,7.889627407392,98.394397591128,0.1462,24.7451
PKET010,PKET,2020-01-10 00:00:00,2020.0273224,10,-922365.11055,6250473.36601,869690.38480,47,433244.0747,872144.4529,7.889627426074,98.394397577075,0.1541,24.7529
PKET011,PKET,2020-01-11 00:00:00,2020.0300546,11,-922365.11518,6250473.35697,869690.38381,47,433244.0806,872144.4530,7.889627427451,98.394397630526,0.1458,24.7446
PKET012,PKET,2020-01-12 00:00:00,2020.0327869,12,-922365.11195,6250473.35879,869690.38223,47,433244.0771,872144.4513,7.889627411684,98.394397599136,0.1469,24.7457
PKET013,PKET,2020-01-13 00:00:00,2020.0355191,13,-922365.11256,6250473.36586,869690.38179,47,433244.0767,872144.4499,7.889627398940,98.394397595266,0.1538,24.7527
PKET014,PKET,2020-01-14 00:00:00,2020.0382514,14,-922365.11184,6250473.35647,869690.38178,47,433244.0774,872144.4511,7.889627410486,98.394397601271,0.1445,24.7434
PKET015,PKET,2020-01-15 00:00:00,2020.0409836,15,-922365.11143,6250473.34893,869690.38136,47,433244.0781,872144.4518,7.889627416130,98.394397607520,0.1370,24.7359
PKET016,PKET,2020-01-16 00:00:00,2020.0437158,16,-922365.11209,6250473.36332,869690.38535,47,433244.0766,872144.4537,7.889627434027,98.394397594449,0.1518,24.7506
PKET017,PKET,2020-01-17 00:00:00,2020.0464481,17,-922365.11164,6250473.36168,869690.38317,47,433244.0764,872144.4518,7.889627416618,98.394397592550,0.1498,24.7486
PKET018,PKET,2020-01-18 00:00:00,2020.0491803,18,-922365.10903,6250473.35050,869690.38159,47,433244.0755,872144.4518,7.889627416617,98.394397583928,0.1382,24.7371
PKET019,PKET,2020-01-19 00:00:00,2020.0519126,19,-922365.11139,6250473.36527,869690.38300,47,433244.0756,872144.4512,7.889627410719,98.394397585606,0.1533,24.7521
PKET020,PKET,2020-01-20 00:00:00,2020.0546448,20,-922365.11337,6250473.35734,869690.38073,47,433244.0787,872144.4500,7.889627399813,98.394397613809,0.1455,24.7443
PKET021,PKET,2020-01-21 00:00:00,2020.0573770,21,-922365.10939,6250473.35710,869690.38068,47,433244.0749,872144.4500,7.889627400381,98.394397578485,0.1446,24.7435
PKET022,PKET,2020-01-22 00:00:00,2020.0601093,22,-922365.11475,6250473.36862,869690.38343,47,433244.0785,872144.4511,7.889627409834,98.394397611261,0.1571,24.7559
PKET023,PKET,2020-01-23 00:00:00,2020.0628415,23,-922365.11061,6250473.34921,869690.38219,47,433244.0772,872144.4526,7.889627423352,98.394397599860,0.1373,24.7361
PKET024,PKET,2020-01-24 00:00:00,2020.0655738,24,-922365.11079,6250473.36569,869690.38242,47,433244.0750,872144.4505,7.889627405075,98.394397579645,0.1535,24.7523
PKET025,PKET,2020-01-25 00:00:00,2020.0683060,25,-922365.10842,6250473.36163,869690.38268,47,433244.0732,872144.4514,7.889627412830,98.394397563748,0.1492,24.7480
PKET026,PKET,2020-01-26 00:00:00,2020.0710383,26,-922365.11568,6250473.36653,869690.38132,47,433244.0797,872144.4492,7.889627393369,98.394397622394,0.1549,24.7537
PKET027,PKET,2020-01-27 00:00:00,2020.0737705,27,-922365.11402,6250473.36239,869690.38394,47,433244.0787,872144.4524,7.889627422225,98.394397613000,0.1509,24.7498
PKET028,PKET,2020-01-28 00:00:00,2020.0765027,28,-922365.10984,6250473.35845,869690.38272,47,433244.0751,872144.4518,7.889627416830,98.394397580647,0.1463,24.7451
PKET029,PKET,2020-01-29 00:00:00,2020.0792350,29,-922365.11069,6250473.35976,869690.38094,47,433244.0757,872144.4499,7.889627399182,98.394397586579,0.1475,24.7463
PKET030,PKET,2020-01-30 00:00:00,2020.0819672,30,-922365.11518,6250473.36382,869690.38438,47,433244.0796,872144.4526,7.889627424146,98.394397621498,0.1526,24.7514
PKET031,PKET,2020-01-31 00:00:00,2020.0846995,31,-922365.11316,6250473.35384,869690.38030,47,433244.0791,872144.4500,7.889627400258,98.394397616573,0.1419,24.7408
PKET032,PKET,2020-02-01 00:00:00,2020.0874317,32,-922365.11024,6250473.35134,869690.37857,47,433244.0765,872144.4487,7.889627388356,98.394397593691,0.1388,24.7377
PKET033,PKET,2020-02-02 00:00:00,2020.0901639,33,-922365.11130,6250473.35841,869690.38048,47,433244.0766,872144.4496,7.889627396622,98.394397593863,0.1462,24.7450
PKET034,PKET,2020-02-03 00:00:00,2020.0928962,34,-922365.11148,6250473.36080,869690.38121,47,433244.0764,872144.4500,7.889627400215,98.394397592262,0.1486,24.7475
PKET035,PKET,2020-02-04 00:00:00,2020.0956284,35,-922365.11407,6250473.36329,869690.38400,47,433244.0786,872144.4524,7.889627421644,98.394397612197,0.1518,24.7507
PKET036,PKET,2020-02-05 00:00:00,2020.0983607,36,-922365.11115,6250473.35995,869690.38213,47,433244.0762,872144.4510,7.889627409505,98.394397590492,0.1479,24.7467
PKET037,PKET,2020-02-06 00:00:00,2020.1010929,37,-922365.11275,6250473.36098,869690.38368,47,433244.0776,872144.4524,7.889627421871,98.394397603416,0.1493,24.7482
PKET038,PKET,2020-02-07 00:00:00,2020.1038251,38,-922365.10787,6250473.35152,869690.38255,47,433244.0742,872144.4527,7.889627424252,98.394397572198,0.1392,24.7380
PKET039,PKET,2020-02-08 00:00:00,2020.1065574,39,-922365.11324,6250473.35835,869690.38292,47,433244.0785,872144.4520,7.889627418211,98.394397611287,0.1467,24.7456
PKET040,PKET,2020-02-09 00:00:00,2020.1092896,40,-922365.11178,6250473.35555,869690.38467,47,433244.0774,872144.4541,7.889627437532,98.394397601942,0.1440,24.7428
PKET041,PKET,2020-02-10 00:00:00,2020.1120219,41,-922365.11180,6250473.35762,869690.38156,47,433244.0772,872144.4508,7.889627407131,98.394397599360,0.1456,24.7445
PKET042,PKET,2020-02-11 00:00:00,2020.1147541,42,-922365.11099,6250473.36818,869690.38174,47,433244.0748,872144.4495,7.889627395903,98.394397578155,0.1559,24.7547
PKET043,PKET,2020-02-12 00:00:00,2020.1174863,43,-922365.11054,6250473.35445,869690.37791,47,433244.0764,872144.4476,7.889627378588,98.394397592311,0.1418,24.7407
PKET044,PKET,2020-02-13 00:00:00,2020.1202186,44,-922365.10955,6250473.35371,869690.38043,47,433244.0755,872144.4502,7.889627402251,98.394397584368,0.1413,24.7401
PKET045,PKET,2020-02-14 00:00:00,2020.1229508,45,-922365.11358,6250473.36077,869690.37940,47,433244.0785,872144.4482,7.889627383596,98.394397611128,0.1487,24.7475
PKET046,PKET,2020-02-15 00:00:00,2020.1256831,46,-922365.10988,6250473.35289,869690.38051,47,433244.0759,872144.4504,7.889627403895,98.394397588384,0.1406,24.7394
PKET047,PKET,2020-02-16 00:00:00,2020.1284153,47,-922365.11365,6250473.36624,869690.38080,47,433244.0777,872144.4488,7.889627389415,98.394397604514,0.1542,24.7531
PKET048,PKET,2020-02-17 00:00:00,2020.1311475,48,-922365.11047,6250473.35626,869690.37933,47,433244.0760,872144.4488,7.889627389101,98.394397589222,0.1438,24.7426
PKET049,PKET,2020-02-18 00:00:00,2020.1338798,49,-922365.11375,6250473.36328,869690.38077,47,433244.0783,872144.4492,7.889627392745,98.394397609381,0.1513,24.7502
PKET051,PKET,2020-02-20 00:00:00,2020.1393443,51,-922365.10960,6250473.35247,869690.37811,47,433244.0757,872144.4481,7.889627382941,98.394397586422,0.1398,24.7386
PKET052,PKET,2020-02-21 00:00:00,2020.1420765,52,-922365.11455,6250473.35448,869690.38160,47,433244.0803,872144.4512,7.889627410870,98.394397628163,0.1429,24.7418
PKET053,PKET,2020-02-22 00:00:00,2020.1448087,53,-922365.11653,6250473.35761,869690.38321,47,433244.0818,872144.4523,7.889627421044,98.394397641783,0.1465,24.7453
PKET054,PKET,2020-02-23 00:00:00,2020.1475410,54,-922365.11141,6250473.35035,869690.38004,47,433244.0778,872144.4503,7.889627402545,98.394397605468,0.1382,24.7371
PKET055,PKET,2020-02-24 00:00:00,2020.1502732,55,-922365.11399,6250473.35817,869690.38003,47,433244.0792,872144.4491,7.889627392369,98.394397618307,0.1463,24.7451
PKET056,PKET,2020-02-25 00:00:00,2020.1530055,56,-922365.11329,6250473.36069,869690.37796,47,433244.0782,872144.4468,7.889627370890,98.394397608683,0.1484,24.7472
PKET057,PKET,2020-02-26 00:00:00,2020.1557377,57,-922365.11400,6250473.36073,869690.38011,47,433244.0789,872144.4489,7.889627389959,98.394397614972,0.1488,24.7476
PKET058,PKET,2020-02-27 00:00:00,2020.1584699,58,-922365.11464,6250473.36413,869690.38015,47,433244.0790,872144.4484,7.889627386019,98.394397616232,0.1522,24.7511
PKET059,PKET,2020-02-28 00:00:00,2020.1612022,59,-922365.11518,6250473.35912,869690.37902,47,433244.0803,872144.4480,7.889627381978,98.394397627736,0.1472,24.7461
PKET060,PKET,2020-02-29 00:00:00,2020.1639344,60,-922365.11285,6250473.36128,869690.37972,47,433244.0777,872144.4484,7.889627386003,98.394397603966,0.1491,24.7479
PKET061,PKET,2020-03-01 00:00:00,2020.1666667,61,-922365.11254,6250473.35582,869690.37946,47,433244.0782,872144.4489,7.889627390453,98.394397608413,0.1437,24.7425
PKET062,PKET,2020-03-02 00:00:00,2020.1693989,62,-922365.11152,6250473.35390,869690.37637,47,433244.0774,872144.4461,7.889627365239,98.394397601748,0.1412,24.7401
PKET063,PKET,2020-03-03 00:00:00,2020.1721311,63,-922365.11179,6250473.35931,869690.38085,47,433244.0769,872144.4498,7.889627398739,98.394397597067,0.1472,24.7460
PKET064,PKET,2020-03-04 00:00:00,2020.1748634,64,-922365.11336,6250473.36944,869690.38223,47,433244.0770,872144.4498,7.889627398394,98.394397597762,0.1575,24.7564
PKET065,PKET,2020-03-05 00:00:00,2020.1775956,65,-922365.11115,6250473.35630,869690.38021,47,433244.0767,872144.4496,7.889627396835,98.394397595262,0.1440,24.7429
PKET066,PKET,2020-03-06 00:00:00,2020.1803279,66,-922365.11514,6250473.36533,869690.38168,47,433244.0793,872144.4498,7.889627398133,98.394397619087,0.1537,24.7525
PKET067,PKET,2020-03-07 00:00:00,2020.1830601,67,-922365.11491,6250473.36117,869690.38080,47,433244.0797,872144.4495,7.889627395462,98.394397622572,0.1494,24.7483
