id,sta,ymd,ydec,doy,x,y,z,zone,utm_e,utm_n,lat,lon,ell_h,msl_h
THAI001,THAI,2020-01-01 00:00:00,2020.0027322,1,-1150486.07627,6080853.89536,1537596.42701,47,685044.8288,1553154.1424,14.043005758437,100.713616594450,-7.2870,22.9709
THAI002,THAI,2020-01-02 00:00:00,2020.0054645,2,-1150486.08135,6080853.90323,1537596.43081,47,685044.8323,1553154.1440,14.043005772752,100.713616627071,-7.2777,22.9802
THAI003,THAI,2020-01-03 00:00:00,2020.0081967,3,-1150486.07640,6080853.90120,1537596.42761,47,685044.8278,1553154.1416,14.043005751009,100.713616585583,-7.2813,22.9766
THAI005,THAI,2020-01-05 00:00:00,2020.0136612,5,-1150486.08023,6080853.91128,1537596.42892,47,685044.8297,1553154.1403,14.043005739287,100.713616603033,-7.2706,22.9872
THAI006,THAI,2020-01-06 00:00:00,2020.0163934,6,-1150486.07770,6080853.90692,1537596.42962,47,685044.8280,1553154.1421,14.043005755794,100.713616587504,-7.2751,22.9828
THAI007,THAI,2020-01-07 00:00:00,2020.0191257,7,-1150486.07728,6080853.91127,1537596.43310,47,685044.8268,1553154.1445,14.043005777116,100.713616576258,-7.2702,22.9877
THAI008,THAI,2020-01-08 00:00:00,2020.0218579,8,-1150486.07930,6080853.90886,1537596.43355,47,685044.8292,1553154.1454,14.043005785453,100.713616598729,-7.2720,22.9859
THAI009,THAI,2020-01-09 00:00:00,2020.0245902,9,-1150486.07904,6080853.91275,1537596.43314,47,685044.8283,1553154.1441,14.043005773528,100.713616589665,-7.2684,22.9894
THAI010,THAI,2020-01-10 00:00:00,2020.0273224,10,-1150486.07592,6080853.89993,1537596.44172,47,685044.8275,1553154.1556,14.043005877678,100.713616583392,-7.2791,22.9787
THAI011,THAI,2020-01-11 00:00:00,2020.0300546,11,-1150486.07769,6080853.91109,1537596.42963,47,685044.8273,1553154.1411,14.043005746960,100.713616580306,-7.2711,22.9868
THAI012,THAI,2020-01-12 00:00:00,2020.0327869,12,-1150486.08222,6080853.91721,1537596.43516,47,685044.8305,1553154.1448,14.043005780362,100.713616610961,-7.2631,22.9948
